네,yes
거의,almost
간호사,nurse
불안하다,to be anxious, uneasy
배달,delivery
아무도,no one, nobody
곧,soon
흐리다,to be cloudy
장갑,glove
말고,not ... but ...
복습하다,to review
새벽,dawn
정도,degree, extent
숟가락,spoon
출발하다,to depart, leave
달력,calendar
회의,meeting, conference
끄다,to put out, turn off
훨씬,by far, much
부탁,request
줄,line, rope
샤워하다,to take a shower
그러나,but, though, however
접시,plate, dish
드시다,to eat, drink (hon.)
경제,economy
개월,months (count.)
잘생기다,to look good, be handsome
문장,sentence
가위,scissors
초대하다,to invite
점,dot, point;viewpoint;fortune-telling
호텔,hotel
갈비,barbecued spare ribs
알아보다,to find out,&nbsp;check out, investigate;to recognize
허리,waist
물론,of course
편하다,to be convenient, comfortable
까만색,black
자신,oneself;self-confidence
헤어지다,to break up, part, separate
사거리,intersection, crossroads
국,soup
가운데,center
다녀오다,to go and get back, be back
학원,educational institute, academy
장소,place, location
착하다,to be nice (good-natured)
호수,lake;number (of a house or room)
보기,example
야채,vegetable
마르다,to be dry, become dry;to become thin, lose weight
팥,red-beans
신호,signal
덮다,to cover, shut, close
굉장히,very, extremely, very much
하늘,the sky
돌아가다,to go back, return;to work, operate
아까,a while ago
기침,cough
불다,to blow
케이크,cake
살,years of age (<i>count.</i>);flesh, muscle
짜다,to organize, construct;to be salty
카페,café
욕실,bathroom
이사하다,to move (to live elsewhere)
건물,building
달러,dollar
넣다,to put in, insert
종업원,waiter, waitress
가슴,chest
장,counter for sheets (of paper or similar material);intestine
짓다,to make, build, construct
그녀,she
단어,word, vocabulary
남자친구,boyfriend
고르다,to choose, pick
어린이,young child, kid
딸기,strawberry
혹시,by any chance; perhaps
돌다,to turn, rotate, revolve
문화,culture
참,very, really
무섭다,to be scary, frightening, fearful;to be scared
소풍,picnic
이미,already, yet;previously
묻다,to ask;to stick to, be stained;<br />to bury
이유,reason, cause
녹색,green
오래간만,first time in a while
떨어지다,to fall, crash;to be short of, run out;to be worn out;
예문,example sentence
스파게티,spaghetti
뚱뚱하다,to be fat
발,foot
아르바이트,part-time job
이기다,to win
기차,train
어깨,shoulder
따라하다,to imitate, repeat (after)
직접,directly, personally
강아지,puppy
끊다,to cut off, break off
냉면,cold noodles
사장,president of a company
각,each, every;angle
맑다,to be clear, clean
제주도,Jeju Island
경찰,police, police officer
전화기,telephone (set)
신다,to put on, wear (footwear)
눈물,tear
노력,effort
어울리다,to match, fit, suit well, look good;to associate (with), get along (with)
어서,please, kindly;quickly
뉴스,news
갔다오다,to go and come back
노래방,karaoke room
간장,soy sauce
휴게실,lounge, resting room
건너다,to cross (over)
게임,game
표,ticket;table, diagram;mark, sign
쓰레기,garbage, trash
해보다,to try; to experience
손가락,finger
남녀,men and women
자르다,to cut, slice
옛날,old times, the past
설거지,dishwashing
봉투,envelope, bag
나타나다,to appear, turn up;to be revealed
초등학교,elementary school
복숭아,peach
불편하다,to be inconvenient, uncomfortable
칼,knife;sword
추석,Korean harvest festival
내려가다,to go down
부부,a married couple
지하,underground, basement
걸다,to hang, suspend;to speak to, call
수영장,swimming pool
반찬,side dish
시장보다,to go grocery shopping
공연,public performance
최고,the best, the highest, top
팀,team
돌아오다,to come back, return
곧장,straight, directly
자연,nature
한글,Korean alphabet
갖다,to have, to hold
공사,construction
모습,figure, shape, features
깎다,to peel, trim, cut;to discount (cut the price)
특히,especially, particularly
남쪽,south
까맣다,to be black
예,example;yes
가전제품,electric home appliance
산책하다,to take a walk
당신,you (formal)
조건,condition, term
세상,the world, society
날다,to fly
외국인,foreigner
교통,traffic
말씀하시다,to speak, talk (hon.)
실수,mistake, error
언어,language
왕,king
올라가다,to go up
피부,skin
발음,pronunciation
참다,to endure, bear
한복,Korean dress (traditional)
인터뷰,interview
첫째,first, the foremost
막히다,to be blocked, be stopped
소주,Korean hard liquor
맞은편,opposite side
시청,city hall;watching
희다,to be white, fair
과자,cookie, snack
미터,meter
휴지,toilet paper, tissue;pause
전하다,to convey, communicate, report;to teach, introduce
포도주,wine
과,department;lesson, chapter
멋있다,to be attractive, stylish, cool
첫날,the first day
