네,yes
삽입하다,to insert
속성,attribute;quick
전송하다,to send, transmit
골고루,evenly, equally
송편,half-moon-shaped rice cake
규정,rule, regulation
유람선,cruise ship, excursion boat
불꽃놀이,fireworks
통로,aisle, passage
궁궐,royal palace
여행용,for travel
파다,to dig, excavate
수하물,luggage
물기,moisture
낯설다,to be unfamiliar
제한,limit, restriction
마주서다,to stand face to face
후춧가루,ground pepper
신용,trust, credibility
온몸,entire body
정,affection, attachment, emotion
정신적,mental
증상,symptom
한꺼번에,all at once, all together
껍질,skin, bark, peel, nutshell
지속되다,to last, continue
개업하다,to open, start (a business)
염소,goat;chlorine
고래,whale
부근,neighborhood
반장,class president, leader
역사가,historian
연구자,researcher
조그맣다,to be tiny, small
줄기,trunk, stem
년대,(period of) years
후반,second half
지니다,to keep, carry, have
의원,member of parliament or assembly or congress;clinic
나물,seasoned vegetables
물개,seal
벽돌,brick
철새,migratory bird
디자이너,designer
붐비다,to be crowded, packed
농민,farmer
대책,countermeasure
셈,figures, calculation
불구하다,to disregard
지하철역,subway station
도쿄,Tokyo
구두쇠,miser, cheapskate
담당자,person in charge
뜨개질,knitting
멋쟁이,dandy, sharp dresser
성명,full name;statement
선로,train tracks, railroad
안내문,notice
점검하다,to inspect, check
주걱,spatula, paddle
중고차,used car
휴학하다,to take time off from school
삼국,three countries
떼다,to take off, remove, detach
달아나다,to run away, escape
소리치다,to shout, yell
기울다,to tilt, lean, decline
쓰이다,to be used, serve as;to be written
공예,craft
마중하다,to (come to) meet someone
짖다,to bark, howl
곱슬곱슬하다,to be curly
턱수염,beard
턱,chin, jaw;elevated place;feast
층지다,to have layers
호출기,pager
조리법,recipe
지급하다,to provide, pay
수표,check
명세서,(detailed) statement
단풍나무,maple
직장인,(office) worker
하룻밤,one night, overnight
폭설,heavy snowfall
수량,quantity, amount;quantity of water
탁하다,to be murky, muddy, stuffy
명소,notable sights, attractions
딸꾹질하다,to have hiccups
별도,separate, additional
독수리,eagle
배우자,spouse, partner
견학,field trip, tour
세종대왕,the Great King Sejong
조선시대,the Joseon period
경호원,bodyguard, escort
통치,rule, reign
침착하다,to be composed, calm
소극적,passive, negative
인수하다,to take over, accept
제시하다,to suggest, propose, present
불과하다,to be nothing more than
작용,action, effect, function
공업,industry
경향,tendency, trend
반면에,on the other hand
특성,characteristic, nature, property
서럽다,to be sad, sorrowful
끌어안다,to hug, cuddle
한없다,to be unlimited, endless
밀어내다,to push out, force out
굳다,to harden, solidify, get stiff
보도,report;sidewalk
여기저기,here and there
타이밍,timing
마누라,wife
지원자,applicant, volunteer;supporter
조만간,soon, shortly, before long
상의,discussion, consultation;jacket, coat, shirt, blouse
선호하다,to prefer
안정성,stability
대기업,large company
적성,aptitude
근로,work, labor
발자국,footstep, footprint
자네,you
노려보다,to glare, scowl
쳐들다,to lift up, raise
또라이,weirdo
아침저녁,mornings and evenings
전체적,overall, general
분쟁,dispute, conflict
진료,medical examination and treatment
초라하다,to be shabby, poor, pitiful
가불하다,to pay in advance
우아하다,to be elegant, graceful
실크,silk
절약하다,to economize
일자리,job, position
압도적으로,overwhelmingly
문제집,workbook
사항,matter, item, particulars
숙지하다,to know inside out, be fully aware
채점하다,to grade, mark
표명하다,to express, state
보관하다,to keep, store, take charge of
유일하다,to be the only one
공통점,common feature
시위,demonstration, protest;string
환절기,change of seasons
치킨,chicken
인쇄하다,to print
자켓,jacket
초보,first steps, the beginning
담요,blanket
취급하다,to handle, treat, deal with, deal in
전자레인지,microwave oven
램프,lamp
학창,school
범죄,crime
바위,rock
클럽,club
권하다,to advise, recommend, offer
끝내,to the last, to the end
대문,gate, front gate
비판하다,to criticize, pass judgement
세워지다,to be built, be established
확실히,certainly, for sure
교류,exchange, interchange
섞이다,to be mixed, be blended
심리,mentality;court hearing, trial
적용하다,to apply (a rule, changes, etc.)
그다지,(not) so much, in that way
부처,Buddha
상세하다,to be detailed, full
헛소리,nonsense, silly talk
정직하다,to be honest, straightforward
단추,button
프린터,printer
은,silver
원목,hardwood
천,cloth, fabric
대형,large size
배달원,delivery man
재래시장,traditional market
수산시장,fish market
장수,seller, merchant;long life, longevity
꽃다발,bouquet
앞머리,bangs, front hair;forehead
인상착의,(the description of) look, personal appearance
미아,missing child, lost child
장식하다,to decorate, trim, adorn
여유롭다,to be leisurely
점치다,to divine, foretell
돌잡이,doljabi (when a baby picks out one object from several)
장래,the future
청진기,stethoscope
야유회,picnic
쿵,with a thud, bang
떫다,to be bitter, sour
벼룩시장,flea market
길거리,street, road
작업실,workroom
색다르다,to be different, unconventional, unusual
완공되다,to be completed, be completely built
차량,car, vehicle
주목,attention, notice
귀금속,jewelry, precious metal
탐색하다,to explore, investigate
토하다,to throw up, vomit
굴욕,humiliation, indignity
건반,keyboard, key
대인,adult, noble man;personal
엉금엉금,crawling, creeping
획득하다,to acquire, gain, win
평온하다,to be calm, peaceful, serene
군것질,eating between meals
작정,intention, decision, plan
보물,treasure
중단하다,to suspend, discontinue, interrupt
출판사,publishing company
클릭하다,to click
머뭇거리다,to hesitate, hold back
사물함,locker
방문,room door
해내다,accomplish, achieve, do
가업,family business
대접하다,to treat, treat to, entertain
배웅하다,to see someone out, see someone off
건달,good-for-nothing
단정하다,to be neat, tidy, proper
간지럽다,to be ticklish, feel ticklish, itchy
허탈하다,to be dejected, dispirited
검토하다,to examine, review, study
요리책,cookbook
진수성찬,feast, lots of food
부엌용품,kitchen appliances
개강,beginning of semester
협찬하다,to sponsor, support
도착지,destination
까불다,to act up, behave badly or silly
맛집,restaurant famous for delicious food
코뿔소,rhinoceros
버겁다,to be beyond one's capability or resources
달인,expert, master
잠복,stakeout, hiding and waiting
벌칙,penalty
시각,time;view;sight, vision
대로,main street, main road
배터리,battery
꼼짝 못하다,to be unable to move at all
성질,nature, temper
뭉치다,to gather (together), bundle, crumple up
환호하다,to cheer
완수하다,to carry out, accomplish
쾌감,pleasant feeling, pleasure
개조하다,to remodel, alter
소유하다,to own, have
본격적,earnest, full-scale, regular
이적하다,to transfer, move
다급하다,to be urgent
빛깔,color, tint
업히다,to be carried on someone's back
골인하다,to score a goal;to reach the finish line
난동,disturbance;abnormally warm winter
검거하다,to catch, arrest, round up
쿠폰,coupon
제외하다,to exclude, leave out
모함,set-up, slander, false accusations
연,year;kite;lotus
팀장,team leader
행방,one's whereabouts
승패,victory and/or defeat
수포,bubble;blister
실험하다,to perform an experiment
돋보기,magnifying glass, reading glasses
오피스텔,studio apartment
누이,sister
꼴찌,the last, the bottom
숨바꼭질,hide-and-seek
꿀꺽,gulp
빼앗기다,to be taken away, be robbed of;to be fascinated
완패,complete defeat, crushing defeat
귀가하다,to go home, come home
즐비하다,to stand closely together, form a line
씁쓸하다,to be bitter, disappointed
거북하다,to be uncomfortable
겹치다,to overlap
대보다,to compare
현수막,banner
별말,unexpected, absurd, or extraordinary remark
보람 있다,to be worthwhile, be fruitful
포스터,poster
벚꽃놀이,picnic under the cherry blossoms
장만하다,to prepare, purchase, get
시집,one's husband's home;collection of poems
항공편,flight
만석,full, fully occupied
동맹,alliance, partnership
완료하다,to complete
대기자,waiting person
더군다나,besides, moreover, further
지지리,extremely, awfully, terribly
다물다,to close one's mouth
뜯다,to tear, pick, pluck, take away
돗자리,mat
진리,truth
언뜻,in an instant, in a flash;by chance, by accident
애칭,nickname, pet name
처제,younger sister of one's wife
효율적,efficient
최강,the strongest
전략,strategy, tactic
얽히다,to be tangled, involved
일화,anecdote
품절되다,to be out of stock
주장,insistence, assertion;captain, leader
빡빡하다,to be tight, rigid, inflexible
아군,our forces, ally
날카롭다,to be sharp, pointed
지령,order, instruction, directive
감탄하다,to admire, wonder
모욕하다,to insult
습기,moisture, humidity
소나기,shower
겉,the outside, surface
소질,aptitude, talent
사례,case, instance, example;reward, compensation
추천서,letter of recommendation
걸레,rag, mop;slut
믿음직하다,to be reliable, dependable
널다,to hang
유학생,foreign student
추리하다,to deduce, reason
정성껏,with one's utmost sincerity or whole heart
저축하다,to save up, deposit
북경,Beijing
홀수,odd number
생수,mineral water
갈매기,seagull
보따리,bundle
최상,the best, the highest
인원,the number of people
메뚜기,grasshopper
지배하다,to rule, control, dominate
예리하다,to be sharp, keen
인질,hostage
유쾌하다,to be cheerful, pleasant
꿈속,inside a dream
필기하다,to take notes
구별하다,to distinguish, differentiate
조개,clam
기색,look, expression, sign
연합,alliance, coalition
바가지,dipper;rip-off
식히다,to cool, make/let something cool
감동적,to be moving, touching, impressive
쫓기다,to be chased
법정,court of law
배즙,pear juice
만점,perfect score
지리,geography
이해심,understanding, empathy
봐주다,to let someone off, let something slide, tolerate
무전기,walkie-talkie, radio
내성적,introverted, reserved
자신감,confidence
단원,unit;member
덤벙거리다,to be careless
둔감하다,to be insensitive, obtuse, impervious
엉성하다,to be poor, loose
확률,probability, chance
주꾸미,short arm octopus
진로,course, direction, path
설계하다,to design, map out, plan
지난번,last time, the other day
지난날,days gone by, the past
휴가철,vacation season
저런,such, like that
수료하다,to complete, finish (a course)
장구,Korean double-headed drum
작별,farewell, parting
출전하다,to participate, compete
경제적,financial, economic
담당하다,to undertake, be in charge
벗기다,to take off, undress, peel
불빛,light, glow
